Nombre,Genero,Desarrollador,Clasificación ESRB

Dragon Age Inquisition,RPG,BioWare,M

Bloodborne,RPG,FromSoftware,M

Kingdom Come Deliverance,RPG,Warhorse Studios,M

Divinity Original Sin 2,RPG,Larian Studios,M

Nier Automata,RPG,PlatinumGames,M

Dying Light 2,Accion,Techland,M

Just Cause 4,Accion,Avalanche Studios,M

Sleeping Dogs,Accion,United Front Games,M

Max Payne 3,Accion,Rockstar Games,M

Mafia III,Accion,Hangar 13,M

Uncharted 4,Aventura,Naughty Dog,T

The Last Guardian,Aventura,SIE Japan Studio,T

Life is Strange,Aventura,Dontnod Entertainment,M

Journey,Aventura,Thatgamecompany,E

Firewatch,Aventura,Campo Santo,T

Terraria,SandBox,Re-Logic,T

Roblox,SandBox,Roblox Corporation,E10

Ark Survival Evolved,SandBox,Studio Wildcard,M

Rust,SandBox,Facepunch Studios,M

Subnautica,SandBox,Unknown Worlds,E10

Rainbow Six Siege,Shooter,Ubisoft,M

Titanfall 2,Shooter,Respawn Entertainment,M

Wolfenstein II,Shooter,MachineGames,M

Metro Exodus,Shooter,4A Games,M

Paladins,Shooter,Hi-Rez Studios,T

PES 2021,Deportes,Konami,E

Madden NFL 24,Deportes,EA Sports,E

WWE 2K23,Deportes,2K Sports,T

UFC 5,Deportes,EA Sports,M

Tony Hawk Pro Skater 1+2,Deportes,Vicarious Visions,T

Skyrim,RPG,Bethesda Game Studios,M

Fable III,RPG,Lionhead Studios,T

Dragon Quest XI,RPG,Square Enix,T

Prototype 2,Accion,Radical Entertainment,M

Infamous Second Son,Accion,Sucker Punch Productions,T

Batman Arkham Knight,Accion,Rocksteady Studios,M

Shadow of the Colossus,Aventura,Bluepoint Games,T

Okami HD,Aventura,Capcom,T

Minecraft Dungeons,SandBox,Mojang Studios,E10

No Mans Sky,SandBox,Hello Games,T

Battlefront II,Shooter,EA DICE,T

Crysis Remastered,Shooter,Crytek,M

Overcooked 2,Aventura,Ghost Town Games,E

Riders Republic,Deportes,Ubisoft,E10

F1 23,Deportes,Codemasters,E

MLB The Show 24,Deportes,Sony San Diego,E

NBA Live 19,Deportes,EA Sports,E

Far Cry 5,Accion,Ubisoft,M

GreedFall,RPG,Spiders,M

The Outer Worlds,RPG,Obsidian Entertainment,M
