Method		Description

close()		Cierra un archivo
detach()	Devuelve el flujo sin procesar separado del búfer
fileno()	Devuelve un número que representa la transmisión, desde la perspectiva del sistema operativo
flush()		Limpia el buffer interno
isatty()	Devuelve el archivo de transmisión sea interactivo o no
read()		Muestra el contenido del archivo
readable()	Devuelve si el flujo de archivos se puede leer o no
readline()	Devuelve una linea del archivo
readlines()	Devuelve una lista de líneas del archivo
seek()		Cambia la posición de la linea
seekable()	Devuelve si el archivo nos permite cambiar la posición del archivo
tell()		Devuelve la posición actual del archivo
truncate()	Cambia el tamaño del archivo a uno especifico
writable()	Devuelve si se puede escribir en el archivo o no
write()		Escribe un string especifico en el archivo
writelines()	Escribe una lista de string en el archivo
